Title,Description,Priority,Assignee,Labels,Estimate
Day 01 - Chapter 5 Study,完成本书第5章学习，累计投入3-4小时：通读第5章并整理不少于15条关键概念、流程或代码要点，输出1页学习笔记；结合你已有经验，口头说明第5章内容与AI Agent系统设计的关系，录制1段3分钟音频。完成标准：完成第5章通读，形成1页结构化笔记，并独立完成1段3分钟口头总结。,High,chenzehao,Book Study Foundations,3
Day 02 - Chapter 6 Study,完成本书第6章学习，累计投入3-4小时：通读第6章并整理不少于15条关键概念、流程或代码要点，输出1页学习笔记；提炼其中5个可直接用于后续项目的实践点，录制1段3分钟音频说明这些实践点如何用于AI Agent开发。完成标准：完成第6章通读，形成1页结构化笔记，并输出5条可落地实践点与1段3分钟音频。,High,chenzehao,Book Study Foundations,3
Day 03 - Chapter 7 Study,完成本书第7章学习，累计投入3-4小时：通读第7章并整理不少于15条关键概念、流程或代码要点，输出1页学习笔记；结合万历十五年RAG项目，写出不少于5条对当前demo有帮助的设计启发，并录制1段3分钟音频复述本章核心思路。完成标准：完成第7章通读，形成1页笔记，写出5条设计启发，并完成1段3分钟复述。,High,chenzehao,Book Study Foundations,3
Day 04 - Chapter 8 Study,完成本书第8章学习，累计投入3-4小时：通读第8章并整理不少于15条关键概念、流程或代码要点，输出1页学习笔记；基于本章内容，写出万历十五年RAG项目的初版技术方案，至少包含数据流、检索环节和Agent职责3部分，并录制1段3分钟音频解释方案。完成标准：完成第8章通读，形成1页笔记，输出1版技术方案，并完成1段3分钟说明。,High,chenzehao,Book Study Foundations,3
Day 05 - Review 1 - Chapters 5-8,完成第5-8章阶段复盘，累计投入3-4小时：回看前4章笔记，整理不少于12条跨章节的核心方法、框架或实现模式，输出1份阶段总结；同时写出万历十五年RAG项目当前可直接采用的5条设计原则，并录制1段5分钟音频完成阶段回顾。完成标准：形成1份阶段总结，列出5条设计原则，并独立完成1段5分钟复盘音频。,High,chenzehao,Book Study Foundations,4
Day 06 - Chapter 9 Study,完成本书第9章学习，累计投入3-4小时：通读第9章并整理不少于15条关键概念、流程或代码要点，输出1页学习笔记；结合万历十五年RAG项目，列出不少于8条数据处理或知识组织要求，并录制1段3分钟音频说明这些要求如何影响后续实现。完成标准：完成第9章通读，形成1页笔记，列出8条数据要求，并完成1段3分钟说明。,High,chenzehao,Book Study Advanced Patterns,3
Day 07 - Chapter 10 Study,完成本书第10章学习，累计投入3-4小时：通读第10章并整理不少于15条关键概念、流程或代码要点，输出1页学习笔记；围绕评估、观察或可靠性主题，写出不少于5条适用于万历十五年RAG项目的验证标准，并录制1段3分钟音频解释这些标准。完成标准：完成第10章通读，形成1页笔记，写出5条验证标准，并完成1段3分钟说明。,High,chenzehao,Book Study Advanced Patterns,3
Day 08 - Chapter 11 Study,完成本书第11章学习，累计投入3-4小时：通读第11章并整理不少于15条关键概念、流程或代码要点，输出1页学习笔记；提炼不少于5条与工具使用、任务编排或多步骤推理有关的实现建议，并录制1段3分钟音频总结本章最有价值的部分。完成标准：完成第11章通读，形成1页笔记，提炼5条实现建议，并完成1段3分钟总结。,High,chenzehao,Book Study Advanced Patterns,3
Day 09 - Chapter 12 Study,完成本书第12章学习，累计投入3-4小时：通读第12章并整理不少于15条关键概念、流程或代码要点，输出1页学习笔记；结合前面章节，写出万历十五年RAG项目的Agent工作流草图，至少包含输入、检索、推理和输出4个环节，并录制1段3分钟音频解释该草图。完成标准：完成第12章通读，形成1页笔记，输出1版工作流草图，并完成1段3分钟说明。,High,chenzehao,Book Study Advanced Patterns,3
Day 10 - Review 2 - Chapters 9-12,完成第9-12章阶段复盘，累计投入3-4小时：回看前4章笔记，整理不少于12条与RAG、工作流、评估或工具调用相关的关键结论，输出1份阶段总结；同时更新万历十五年RAG项目的工作流方案，至少补充3项改进，并录制1段5分钟音频解释这些改动。完成标准：形成1份阶段总结，补充3项工作流改进，并独立完成1段5分钟复盘音频。,High,chenzehao,Book Study Advanced Patterns,4
Day 11 - Chapter 13 Study,完成本书第13章学习，累计投入3-4小时：通读第13章并整理不少于15条关键概念、流程或代码要点，输出1页学习笔记；基于本章内容，列出不少于5条与MCP、工具接入或外部能力扩展相关的思考，并录制1段3分钟音频说明这些思考如何影响项目演示。完成标准：完成第13章通读，形成1页笔记，列出5条扩展思考，并完成1段3分钟说明。,High,chenzehao,RAG Demo Design,3
Day 12 - Chapter 14 Study,完成本书第14章学习，累计投入3-4小时：通读第14章并整理不少于15条关键概念、流程或代码要点，输出1页学习笔记；回顾第5-14章，整理不少于10条后续做AI Agent项目最值得复用的方法或模式，并录制1段5分钟音频完成阶段总结。完成标准：完成第14章通读，形成1页笔记，整理10条可复用方法，并完成1段5分钟阶段总结。,High,chenzehao,RAG Demo Design,3
Day 13 - Demo Scope and Corpus Design,完成万历十五年 AI Agent RAG demo 的范围定义，累计投入4-5小时：明确用户问题范围、回答形式和演示边界，输出1份demo设计文档；同时拆出数据准备清单，至少包含文本来源、切分策略、元数据字段和评估样例4部分，并录制1段5分钟音频说明整体方案。完成标准：形成1份可执行设计文档，列出完整数据清单，并完成1段5分钟方案说明。,High,chenzehao,RAG Demo Design,5
Day 14 - Retrieval Demo Build,完成万历十五年 RAG demo 的检索方案设计与最小实现，累计投入4-5小时：明确文档切分、向量化、检索召回和上下文拼接流程，输出1份检索流程说明；同时准备不少于3个测试问题，并记录每个问题预期命中的信息范围，录制1段5分钟音频说明检索链路。完成标准：形成1份检索流程说明，准备3个测试问题及预期结果，并完成1段5分钟说明。,High,chenzehao,RAG Demo Design,5
Day 15 - Agent Workflow Design,完成万历十五年 AI Agent 工作流设计，累计投入4-5小时：基于前面章节和RAG方案，定义Agent输入、检索调用、推理步骤、工具边界和输出格式，输出1份工作流说明；同时写出不少于3个端到端演示场景，并录制1段5分钟音频解释工作流。完成标准：形成1份工作流说明，写出3个演示场景，并完成1段5分钟工作流讲解。,High,chenzehao,RAG Demo Design,5
Day 16 - Final Output and Review,完成16天学习与demo收尾，累计投入4-5小时：整理第5-14章学习结论、万历十五年RAG demo 设计和下一阶段待实现项，输出1份最终总结文档；同时录制1段8分钟音频，完整说明你学到了什么、demo如何工作、下一步如何继续。完成标准：形成1份最终总结文档，列出不少于5项后续行动，并完成1段8分钟总结音频。,High,chenzehao,Final Synthesis and Output,5
