Title,Description,Priority,Assignee,Labels,Estimate
Day 01 - English File - File 1 Day 1,完成 English File Beginner File 1 第1天主线学习：用3小时学习当天新词、核心句型、语法和课本音频，整理不少于10个关键词或表达，并围绕当天主题口头造句不少于10句；录制1段2分钟音频，内容只使用当天学到的核心句型。完成标准：完成3小时主线学习，产出10句口头造句，并独立完成1段2分钟录音。,High,chenzehao,Files 1-2 Cycle,3
Day 01 - English Pod - A1 Listening Practice,选择1-2段适合A1的 English Pod 生活场景材料，用2小时完成1次盲听、2次精听、2次跟读，并提炼5个可复用表达；使用这5个表达各口头造1句，录制1段60-90秒复述音频。完成标准：完成全部听读步骤，输出5句替换表达，并独立复述所选材料大意。,Medium,chenzehao,Files 1-2 Cycle,2
Day 02 - English File - File 1 Day 2,完成 English File Beginner File 1 第2天强化：用3小时复习File 1全部内容，重听课本音频并纠正发音，整理当天仍不熟悉的5个句型或词汇；围绕File 1主题口头造句不少于10句，并录制1段3分钟主题表达音频。完成标准：完成3小时复习，输出10句口头造句，并能连续完成3分钟主题表达。,High,chenzehao,Files 1-2 Cycle,3
Day 02 - English Pod - A1 Listening Practice,选择1-2段适合A1的 English Pod 材料，用2小时完成精听、跟读和表达替换训练；从材料中提炼5个高频表达并替换人物、时间或地点后重新说出，最后录制1段60-90秒无稿复述。完成标准：完成2小时训练，输出5句替换表达，并完成1段无稿复述录音。,Medium,chenzehao,Files 1-2 Cycle,2
Day 03 - English File - File 2 Day 1,完成 English File Beginner File 2 第1天主线学习：用3小时学习当天新词、核心句型、语法和课本音频，整理不少于10个关键词或表达，并围绕当天主题口头造句不少于10句；录制1段2分钟音频，内容只使用当天学到的核心句型。完成标准：完成3小时主线学习，产出10句口头造句，并独立完成1段2分钟录音。,High,chenzehao,Files 1-2 Cycle,3
Day 03 - English Pod - A1 Listening Practice,选择1-2段适合A1的 English Pod 生活场景材料，用2小时完成1次盲听、2次精听、2次跟读，并提炼5个可复用表达；使用这5个表达各口头造1句，录制1段60-90秒复述音频。完成标准：完成全部听读步骤，输出5句替换表达，并独立复述所选材料大意。,Medium,chenzehao,Files 1-2 Cycle,2
Day 04 - English File - File 2 Day 2,完成 English File Beginner File 2 第2天强化：用3小时复习File 2全部内容，重听课本音频并纠正发音，整理当天仍不熟悉的5个句型或词汇；围绕File 2主题口头造句不少于10句，并录制1段3分钟主题表达音频。完成标准：完成3小时复习，输出10句口头造句，并能连续完成3分钟主题表达。,High,chenzehao,Files 1-2 Cycle,3
Day 04 - English Pod - A1 Listening Practice,选择1-2段适合A1的 English Pod 材料，用2小时完成精听、跟读和表达替换训练；从材料中提炼5个高频表达并替换人物、时间或地点后重新说出，最后录制1段60-90秒无稿复述。完成标准：完成2小时训练，输出5句替换表达，并完成1段无稿复述录音。,Medium,chenzehao,Files 1-2 Cycle,2
Day 05 - English File - Practical English 1 + Revise & Check 1&2,完成 Practical English 1 与 Revise & Check 1&2 的主线复盘：用3小时完成场景对话学习、复习检测和错题整理，回顾File 1-2核心词汇与句型各不少于5项；录制1段5分钟综合口语音频，覆盖File 1-2主题。完成标准：完成Revise & Check，整理错题，并独立输出1段5分钟综合表达。,High,chenzehao,Files 1-2 Cycle,4
Day 05 - English Pod - Review Cycle 1,选择1-2段适合A1且与File 1-2主题相关的 English Pod 材料，用2小时完成精听、跟读和复述；提炼5个可复用表达并各造1句，录制1段90秒综合复述音频。完成标准：完成2小时听说训练，输出5句表达替换，并完成1段综合复述录音。,Medium,chenzehao,Files 1-2 Cycle,3
